Sl,Date,Time,Product,Side,Qty,Exe Price,Acct
1,31/08/21,15:57:02,RHE,SLD,4200,10.9,NLSIM043
2,31/08/21,15:54:53,ZM,BOT,100,289.89,NLSIM043
3,31/08/21,15:53:51,ZM,BOT,100,289.53,NLSIM043
4,31/08/21,15:46:04,ZM,BOT,100,289.51,NLSIM043
5,31/08/21,15:45:02,ZM,BOT,200,290,NLSIM043
6,31/08/21,15:42:37,ACIU,BOT,50,8.5,NLSIM043
7,31/08/21,15:42:15,ELYS,SLD,1000,5.9,NLSIM076
8,31/08/21,15:21:25,ELYS,BOT,1000,6.18,NLSIM076
9,31/08/21,15:07:36,ZM,BOT,100,290.2,NLSIM043
10,31/08/21,15:06:00,RHE,BOT,1400,10.85,NLSIM043
11,31/08/21,15:06:00,RHE,BOT,1400,10.85,NLSIM043
12,31/08/21,15:06:00,RHE,BOT,1400,10.85,NLSIM043
13,31/08/21,15:06:00,RHE,BOT,1400,10.85,NLSIM043
14,31/08/21,15:02:46,RHE,SLD,1400,10.58,NLSIM043
15,31/08/21,15:02:46,RHE,SLD,1400,10.57,NLSIM043
16,31/08/21,15:02:24,ELYS,BOT,100,6.18,NLSIM077
17,31/08/21,15:02:18,ELYS,BOT,100,6.19,NLSIM077
18,31/08/21,15:02:15,ELYS,BOT,100,6.2,NLSIM077
19,31/08/21,15:02:11,ELYS,BOT,100,6.22,NLSIM077
20,31/08/21,15:02:11,ELYS,BOT,100,6.22,NLSIM077
21,31/08/21,15:02:11,ELYS,BOT,100,6.22,NLSIM077
22,31/08/21,15:02:03,ELYS,BOT,100,6.19,NLSIM077
23,31/08/21,14:22:25,AMC,SLD,100,46.69,NLSIM056
24,31/08/21,14:22:18,TKAT,SLD,200,11.47,NLSIM056
25,31/08/21,14:21:49,TKAT,BOT,100,11.62,NLSIM056
26,31/08/21,14:20:52,TKAT,BOT,100,11.56,NLSIM056
27,31/08/21,14:20:22,TKAT,SLD,200,11.55,NLSIM056
28,31/08/21,14:18:53,TKAT,BOT,100,11.714,NLSIM056
29,31/08/21,14:18:35,TKAT,BOT,100,11.69,NLSIM056
30,31/08/21,14:18:20,AMC,BOT,100,46.59,NLSIM056
31,31/08/21,13:20:28,AAPL,BOT,100,152.3,NLSIM098
32,31/08/21,13:20:17,MSFT,SLD,100,303.02,NLSIM098
33,31/08/21,13:20:12,AAPL,BOT,100,152.27,NLSIM098
34,31/08/21,13:20:00,AAPL,SLD SHRT,100,152.28,NLSIM098
35,31/08/21,12:51:34,SYTA,BOT,1000,4.29,NLSIM097
36,31/08/21,12:39:27,SYTA,SLD SHRT,1000,4.18,NLSIM097
37,31/08/21,12:36:26,ACIU,SLD,800,8.89,NLSIM097
38,31/08/21,12:34:55,ELYS,SLD SHRT,100,6.05,NLSIM077
39,31/08/21,12:33:45,ACIU,BOT,400,9.03,NLSIM097
40,31/08/21,12:32:40,RHE,BOT,300,11.75,NLSIM043
41,31/08/21,12:32:24,ACIU,BOT,400,9.03,NLSIM097
42,31/08/21,12:28:45,SYTA,BOT,1000,4.23,NLSIM097
43,31/08/21,12:27:51,RHE,BOT,300,12,NLSIM043
44,31/08/21,12:26:04,ELYS,SLD SHRT,100,5.72,NLSIM077
45,31/08/21,12:23:03,ZM,BOT,200,290.54,NLSIM043
46,31/08/21,12:19:58,SYTA,SLD SHRT,700,4.18,NLSIM097
47,31/08/21,12:19:06,RHE,BOT,300,12.31,NLSIM043
48,31/08/21,12:03:52,ELYS,SLD SHRT,100,5.77,NLSIM077
49,31/08/21,12:03:47,ELYS,SLD SHRT,100,5.77,NLSIM077
50,31/08/21,12:03:43,ELYS,SLD SHRT,100,5.77,NLSIM077
51,31/08/21,12:03:41,ELYS,SLD SHRT,100,5.79,NLSIM077
52,31/08/21,12:03:38,ELYS,SLD SHRT,100,5.78,NLSIM077
53,31/08/21,12:03:07,ELYS,SLD,100,5.85,NLSIM077
54,31/08/21,12:03:03,ELYS,SLD,100,5.85,NLSIM077
